시군명,사업장명,영업상태,인허가일자,도로명주소,지번주소,우편번호,전화번호,WGS84위도,WGS84경도,인허가취소일자,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지면적,업태구분명,X좌표값,Y좌표값,환경업무구분명,업종구분명,종별명,주생산품명,배출시설조업시간,배출시설연간가동일수,방지시설조업시간,방지시설연간가동일수
고양시,(주)동진씨앤지,폐업,20190215,"경기도 고양시 일산동구 중앙로 1048, 일산르메이에르프라자 614호 (백석동)",경기도 고양시 일산동구 백석동 1297-2번지 일산르메이에르프라자 ,10447,907-2982,37.6435752857,126.7878172857,,20190910,,,,,환경컨설팅 및 관련 엔지니어링 서비스업,181208.405917248    ,460164.302426648    ,분뇨등관련영업관리,환경컨설팅 및 관련 엔지니어링 서비스업,,,,,,
고양시,(주)새롬환경기술,영업,20031021,"경기도 고양시 일산동구 일산로 138 (백석동, 일산테크노타운)",경기도 고양시 일산동구 백석동 1141-1번지,10442,031-938-0641,37.6501560,126.7949031,,,,,,,,181835.358338529,460894.742344229,분뇨등관련영업관리,,,,,,,
고양시,(주)새롬환경기술,영업,20031021,"경기도 고양시 일산동구 일산로 138 (백석동, 507호 일산테크노타운제부대동)",경기도 고양시 일산동구 백석동 1141-1번지,10442,0319380641,37.6501560,126.7949031,,,,,,,분뇨 처리업,181835.358338529,460894.742344229,분뇨등관련영업관리,분뇨 처리업,,,,,,
과천시,(주)삼안,영업,20180226,경기도 과천시 별양상가3로 5 (별양동),경기도 과천시 별양동 1-20번지 ,13837,0234242887,37.4265786,126.9910871,,,,,,,,199145.725          ,436058.45           ,분뇨등관련영업관리,,,,,,,
구리시,(주)경호엔지니어링종합건축사사무소,영업,20160616,,,,0315605508,,,,,,,,,"건축기술, 엔지니어링 및 관련기술 서비스업",212327.755719687    ,454348.552511401    ,분뇨등관련영업관리,"건축기술, 엔지니어링 및 관련기술 서비스업",,,,0,,0
남양주시,(주)가나엔텍,영업,20150601,,,,575-9204,,,,,,,,,,214239.55568005     ,465025.497706455    ,분뇨등관련영업관리,,,,,0,,0
남양주시,(주)지이에스,폐업,20190722,경기도 남양주시 진접읍 금강로1845번길 126,경기도 남양주시 진접읍 팔야리 422-20 ,12018,031-532-9392,37.7556767021,127.2173278449,,20210527,,,,,,219090.953149619    ,472609.036798371    ,분뇨등관련영업관리,,,,,,,
남양주시,㈜바이오워터,폐업,20171129,"경기도 남양주시 퇴계원면 퇴계원로 123, 3층",경기도 남양주시 퇴계원면 퇴계원리 56-16번지 ,12120,031-575-0531,37.6571386923,127.1437573206,,20190919,,,,,전문직별 공사업,212621.922635592    ,461657.290730393    ,분뇨등관련영업관리,전문직별 공사업,,,,,,
부천시,(주)나노환경,영업,20070911,경기도 부천시 상오정로 84  (오정동),경기도 부천시 오정동 617번지,14440,0326790241,37.5230067,126.7930733,,,,,,,분뇨 및 축산폐기물 처리업,181643.789713064,446782.444004227,분뇨등관련영업관리,분뇨 및 축산폐기물 처리업,,,,,,
부천시,(주)세신청정,폐업,20050129,경기도 부천시 조마루로285번길 34 (중동),경기도 부천시 중동 1129번지 이스트타워 8층,14580,323-4785,37.4989267,126.7754427,,20061208,20050615,20051215,,,,180077.588768644,444114.149616643,분뇨등관련영업관리,,,,,,,
부천시,(주)우성그린텍,폐업,20070127,"경기도 부천시 중동로248번길 38 A동 209호 (중동,메트로팰리스2차)",경기도 부천시 중동 1145번지 메트로팰리스 2차 A동 209호,14548,3262473,37.5012061,126.7707765,,20120514,,,,,,179664.656828867,444368.130933163,분뇨등관련영업관리,,,,,,,
부천시,(주)우성그린텍,폐업,20070126,경기도 부천시 소향로 239  (중동),경기도 부천시 중동 1135번지,14548,,37.5007625,126.7742949,,20120514,,,,,,179976.743393036,444315.804134325,분뇨등관련영업관리,,,,,,,
부천시,(주)테크로스환경서비스,영업,20030617,경기도 부천시 도약로 261 (도당동),경기도 부천시 도당동 187-7 부천대우테크노파크 B동 1105호,14523,032-680-0500,37.5110690880,126.7782563432,,,,,,,,180347.279949304    ,445488.95615221     ,분뇨등관련영업관리,,,,,,,
부천시,(주)하이엔텍,영업,20161031,경기도 부천시 도약로 261 (도당동),경기도 부천시 도당동 187-7번지 부천테크노파크 B동 1105호,14523,680-0500,37.5113391,126.7784702,,,,,,,,180347.279949304,445488.95615221,분뇨등관련영업관리,,,,,,,
부천시,청호나이스(주),영업,20200616,"경기도 부천시 옥산로 ***, 석산빌딩 *층 (도당동)",경기도 부천시 도당동 ** 석산빌딩 ,,0327287325,,,,,,,,,"하수, 폐수 및 분뇨 처리업",180469.112860032    ,446035.2247399      ,분뇨등관련영업관리,"하수, 폐수 및 분뇨 처리업",,,,0,,0
성남시,(주)리보종합건설,폐업,20100824,"경기도 성남시 분당구 황새울로 224, 817호 (수내동,청구블루빌)",경기도 성남시 분당구 수내동 11-1번지 청구블루빌 817호,13595,786-0405,37.3788645412,127.1130780795,,20200301,,,,,"하수처리, 폐기물처리 및 청소관련 서비스업",209950.624298695    ,430768.686520908    ,분뇨등관련영업관리,"하수처리, 폐기물처리 및 청소관련 서비스업",,,,,,
성남시,(주)모리트워터에너지,폐업,20180524,"경기도 성남시 중원구 둔촌대로 464, 드림테크노 705호 (상대원동)",경기도 성남시 중원구 상대원동 513-22번지 드림테크노,13229,02-453-6405,37.4315272,127.1681788,,20181005,,,,,,214818.670686517,436622.271781176,분뇨등관련영업관리,,,,,,,
성남시,(주)에코비트워터,영업,20220708,,,,0269018358,,,,,,,,,토목 건설업,,,분뇨등관련영업관리,토목 건설업,,,,0,,0
성남시,(주)티에스케이워터,폐업,20131210,"경기도 성남시 분당구 판교역로 231 (삼평동, 에이치스퀘어 에스동 1001호)",경기도 성남시 분당구 삼평동 680번지 에이치스퀘어 에스동 1001호 ,13494,0269018358,37.4013668,127.1086047,,20190430,,,,,,209549.874547889    ,433248.085400252    ,분뇨등관련영업관리,,,,,,,
성남시,(주)티에스케이코퍼레이션,폐업,20181023,"경기도 성남시 분당구 판교역로 231, 에이치스퀘어 에스동 s동 10층 1001호 (삼평동)",경기도 성남시 분당구 삼평동 680번지 에이치스퀘어 에스동 ,13494,02-6901-8200,37.4013668353,127.1086047277,,20190514,,,,,,209549.874547889    ,433248.085400252    ,분뇨등관련영업관리,,,,,,,
성남시,(주)티에스케이코퍼레이션,폐업,20181023,"경기도 성남시 분당구 판교역로 231, 에이치스퀘어 에스동 s동 10층 1001호 (삼평동)",경기도 성남시 분당구 삼평동 680번지 에이치스퀘어 에스동 ,13494,02-6901-8200,37.4013668,127.1086047,,20190514,,,,,,209549.874547889    ,433248.085400252    ,분뇨등관련영업관리,,,,,,,
성남시,(주)파오,폐업,20100830,"경기도 성남시 분당구 동원북로 5  (동원동,2층)",경기도 성남시 분당구 동원동 57-8번지 2층,13547,0317115620,37.3462855,127.1009886,,20131022,,,,,축산 관련 서비스업,208882.205951474,427151.006155806,분뇨등관련영업관리,축산 관련 서비스업,,,,,,
성남시,(주)한국종합기술,폐업,20210907,,,,02-2049-5114,,,,20220615,,,,,분뇨 및 축산분뇨 처리업,214216.296234676    ,439074.691838595    ,분뇨등관련영업관리,분뇨 및 축산분뇨 처리업,,,,0,,0
성남시,㈜파이닉스알엔디,영업,20071106,,,,031-726-0780,,,,,,,,,,210014.16           ,430569.655          ,분뇨등관련영업관리,,,,,0,,0
성남시,벽산엔지니어링(주),영업,20140121,경기도 성남시 분당구 벌말로**번길 ** (야탑동),경기도 성남시 분당구 야탑동 ***-* ,,02-767-5463,,,,,,,,,"하수, 폐수 및 분뇨 처리업",212608.265238111    ,434433.262207739    ,분뇨등관련영업관리,"하수, 폐수 및 분뇨 처리업",,,,0,,0
성남시,수자원기술주식회사,영업,20131021,,,,031-724-5322,,,,,,,,,종합 건설업,212060              ,440395              ,분뇨등관련영업관리,종합 건설업,,,,0,,0
성남시,한솔제지㈜,영업,20161117,,,,031-778-5415,,,,,,,,,,208618.540926084    ,433542.959524642    ,분뇨등관련영업관리,,,,,0,,0
성남시,한송엔지니어링(주),폐업,20160429,경기도 성남시 분당구 내정로129번길 26 (정자동),경기도 성남시 분당구 정자동 46-1번지,13609,0342717 6444,37.3731149,127.1142663,,20170124,,,,,,210055.748247185,430132.337346064,분뇨등관련영업관리,,,,,,,
수원시,(주)에코바이론,휴업,20140508,경기도 수원시 장안구 연무로 * (연무동),경기도 수원시 장안구 연무동 ***-** ,,031-241-9450,,,,,20160601,,,,,202534.013526318    ,421163.522532245    ,분뇨등관련영업관리,,,,,0,,0
수원시,BK환경종합건설,폐업,20150102,경기도 수원시 장안구 정조로 **** (송죽동),경기도 수원시 장안구 송죽동 ***-** ,,031-241-1775,,,,20160629,,,,,,200079.808392315    ,422374.424456077    ,분뇨등관련영업관리,,,,,0,,0
수원시,이에스아이 주식회사,영업,20211119,경기도 수원시 권선구 권광로 ** (권선동),경기도 수원시 권선구 권선동 ****-* ,,224-4127,,,,,,,,,종합 건설업,202507.288585223    ,416872.080921272    ,분뇨등관련영업관리,종합 건설업,,,,0,,0
수원시,이에스아이 주식회사,영업,20211119,,,,224-4127,,,,,,,,,종합 건설업,202507.288585223    ,416872.080921272    ,분뇨등관련영업관리,종합 건설업,,,,0,,0
시흥시,(주)에코비트,폐업,20190502,,,,0269018200,,,,20220726,,,,,,176326.365355399    ,425463.57662942     ,분뇨등관련영업관리,,,,,0,,0
시흥시,(주)에코비트워터,폐업,20190426,,,,0269018358,,,,20220726,,,,,,176326.365355399    ,425463.57662942     ,분뇨등관련영업관리,,,,,0,,0
안산시,(주)그린니스,폐업,20140120,경기도 안산시 단원구 해봉로 45 (성곡동),경기도 안산시 단원구 성곡동 621-2번지,15607,031-487-8633,37.3073118,126.7584471,,20171206,,,,,,178519.214720062,422851.248222362,분뇨등관련영업관리,,,,,,,
안산시,(주)에스텍코리아,폐업,20111219,"경기도 안산시 단원구 광덕대로 187, 206호 (고잔동, 장은타워)",경기도 안산시 단원구 고잔동 706-3번지 장은타워 206호,15461,,37.3133116,126.8292708,,20120828,,,,,,184799.156746134,423500.780771631,분뇨등관련영업관리,,,,,,,
안성시,(주)레인솔루션,폐업,20150207,경기도 안성시 원곡면 지문로 504,경기도 안성시 원곡면 성은리 335-4번지,17554,0316587821,37.0721510,127.1549362,,20161123,,,,,액체 여과기 제조업,213711.150442651,396733.838901503,분뇨등관련영업관리,액체 여과기 제조업,,,,,,
안성시,주식회사 가야환경,영업,20060705,경기도 안성시 장기로 140 (봉산동),경기도 안성시 봉산동 65-1   번지,17594,,37.0043583,127.2782395,,,,,,,,,,분뇨등관련영업관리,,,,,,,
안성시,주식회사 바이오립스,폐업,20130201,"경기도 안성시 보개원삼로 165-17, 1층 (가사동)",경기도 안성시 가사동 15번지,17585,031-8050-2205,37.0179087,127.2865700,,20160309,,,,,,225434.458221784,390740.374601402,분뇨등관련영업관리,,,,,,,
안양시,(주)건화,영업,20210513,"경기도 안양시 동안구 흥안대로***번길 **, 인덕원성지스타위드 (관양동)",경기도 안양시 동안구 관양동 ***-* 인덕원성지스타위드 ,,0313407500,,,,,,,,,종합 건설업,197480.830605561    ,432318.20341779     ,분뇨등관련영업관리,종합 건설업,,,,0,,0
안양시,(주)이산,영업,20131115,경기도 안양시 동안구 부림로 121 (관양동),경기도 안양시 동안구 관양동 1608-4번지 동아프라자 7층 ,14066,031-389-0114,37.3940555991,126.9644184604,,,,,,,,196784.059244886    ,432448.726631302    ,분뇨등관련영업관리,,,,,,,
안양시,(주)환경에너지오앤엠,폐업,20160919,"경기도 안양시 동안구 관평로69번길 29-7, 지층 1호 (평촌동)",경기도 안양시 동안구 평촌동 928-17번지 지층 1호,14103,031-382-8955,37.3828377,126.9636676,,20190626,,,,,,196718              ,431209              ,분뇨등관련영업관리,,,,,,,
안양시,에코이앤오(주),폐업,20150625,"경기도 안양시 동안구 시민대로 401, 1010호 (관양동, 대륭테크노타운15차)",경기도 안양시 동안구 관양동 224-5번지,14057,031-8040-2942,37.3970227,126.9746148,,20161111,,,,,,197692.013195996,432777.290386193,분뇨등관련영업관리,,,,,,,
안양시,에코이앤오(주),폐업,20150624,"경기도 안양시 동안구 시민대로 401, 1010호 (관양동, 대륭테크노타운15차)",경기도 안양시 동안구 관양동 224-5번지 대륭테크노타운15차,14057,031-8040-2942,37.3970227,126.9746148,,20161111,,,,,,197692.013195996,432777.290386193,분뇨등관련영업관리,,,,,,,
안양시,환경시설관리주식회사,영업,20160919,"경기도 안양시 만안구 일직로 **, *층 (석수동)",경기도 안양시 만안구 석수동 *** *층 ,,031-8091-2053,,,,,,,,,"하수, 폐수 및 분뇨 처리업",190294.347420973    ,435320.130513813    ,분뇨등관련영업관리,"하수, 폐수 및 분뇨 처리업",,,,0,,0
양주시,㈜바이오워터,영업,20210302,"경기도 양주시 부흥로 2148, 3층 2,3,4호 (삼숭동)",경기도 양주시 삼숭동 555-7 ,11485,,37.8064712023,127.0928442827,,,,,,,환경컨설팅 및 관련 엔지니어링 서비스업,208106.71172484     ,478221.149414111    ,분뇨등관련영업관리,환경컨설팅 및 관련 엔지니어링 서비스업,,,,,,
양주시,더죤환경기술(주),영업,20150908,경기도 양주시 덕정12길 38 (덕정동),경기도 양주시 덕정동 149-1번지,11450,031-851-0207,37.8426137,127.0652078,,,,,,,,205674.316056503,482237.727296796,분뇨등관련영업관리,,,,,,,
양주시,태일환경관리(주),영업,20141211,,,,0318442101,,,,,,,,,종합 건설업,202836.846860854    ,475835.683676285    ,분뇨등관련영업관리,종합 건설업,,,,0,,0
양평군,(주)매튜,폐업,20060901,경기도 양평군 강상면 강남로 689 (병산리),경기도 양평군 강상면 병산리 1056-6번지,12571,0317744474,37.4971375,127.4570134,,20081224,,,,,,240347.835062442,443985.536412925,분뇨등관련영업관리,,,,,,,
양평군,(주)매튜,폐업,20100820,경기도 양평군 강상면 강남로 689 (병산리),경기도 양평군 강상면 병산리 1056-6번지,12571,0317744474,37.4971375,127.4570134,,20111108,,,,,,240347.835062442,443985.536412925,분뇨등관련영업관리,,,,,,,
양평군,(주)미래환경건설,폐업,20041101,경기도 양평군 양평읍 중앙로 86 (공흥리),경기도 양평군 양평읍 공흥리 755-6번지,12558,0317718410,37.4939720,127.4981433,,20081209,,,,,,243986.841042303,443654.03845121,분뇨등관련영업관리,,,,,,,
